기준월,여행구분,국가,권역,주요목적,입출국자수,평균체류일수,1인당평균지출액
2025-08-01,국민 해외여행객,미국,미주,관광/휴양,165698,10.7,2966898.0
2025-08-01,방한 외래객,호주,대양주,친지 방문,28442,10.3,
2025-08-01,국민 해외여행객,호주,대양주,관광/휴양,53148,11.0,3297094.0
2025-08-01,방한 외래객,베트남,동남아,교육/연수,71751,7.0,1188022.0
2025-08-01,국민 해외여행객,베트남,동남아,업무/출장,54376,7.2,1539981.0
2025-08-01,방한 외래객,태국,동남아,관광/휴양,41567,5.4,1728923.0
2025-08-01,국민 해외여행객,태국,동남아,관광/휴양,85689,6.2,1685438.0
2025-08-01,방한 외래객,필리핀,동남아,관광/휴양,51366,8.3,1326397.0
2025-08-01,국민 해외여행객,필리핀,동남아,관광/휴양,44913,,1511413.0
2025-08-01,방한 외래객,말레이시아,동남아,관광/휴양,36138,6.3,1581953.0
2025-08-01,국민 해외여행객,말레이시아,동남아,관광/휴양,26949,6.8,1893016.0
2025-08-01,방한 외래객,싱가포르,동남아,관광/휴양,27508,4.7,1777767.0
2025-08-01,국민 해외여행객,싱가포르,동남아,친지 방문,28621,6.3,1979915.0
2025-09-01,방한 외래객,일본,동북아,관광/휴양,265662,3.7,1223629.0
2025-09-01,국민 해외여행객,일본,동북아,관광/휴양,214228,5.2,1418386.0
2025-09-01,방한 외래객,중국,동북아,친지 방문,183235,6.1,1963964.0
2025-09-01,국민 해외여행객,중국,동북아,업무/출장,129999,7.8,
2025-09-01,방한 외래객,대만,동북아,친지 방문,108002,3.0,1246746.0
2025-09-01,국민 해외여행객,대만,동북아,관광/휴양,43204,5.6,1398559.0
2025-09-01,방한 외래객,미국,미주,교육/연수,104561,9.4,2211656.0
2025-09-01,국민 해외여행객,미국,미주,관광/휴양,148190,10.8,2827840.0
2025-09-01,방한 외래객,호주,대양주,관광/휴양,27400,10.0,2951784.0
2025-09-01,국민 해외여행객,호주,대양주,관광/휴양,43970,12.7,3324461.0
2025-09-01,방한 외래객,베트남,동남아,관광/휴양,52066,6.9,1386095.0
2025-09-01,국민 해외여행객,베트남,동남아,관광/휴양,47354,7.7,1496842.0
2025-09-01,방한 외래객,태국,동남아,교육/연수,33140,5.0,1691738.0
2025-09-01,국민 해외여행객,태국,동남아,관광/휴양,68997,6.1,1947989.0
2025-09-01,방한 외래객,필리핀,동남아,관광/휴양,39362,,1368781.0
2025-09-01,국민 해외여행객,필리핀,동남아,친지 방문,35018,8.8,1313487.0
2025-09-01,방한 외래객,말레이시아,동남아,업무/출장,29227,5.7,1560635.0
2025-09-01,국민 해외여행객,말레이시아,동남아,관광/휴양,24726,6.3,1592853.0
2025-09-01,방한 외래객,싱가포르,동남아,업무/출장,24162,4.0,1932268.0
2025-09-01,국민 해외여행객,싱가포르,동남아,,24560,5.1,2265008.0
2025-10-01,방한 외래객,일본,동북아,업무/출장,282493,4.2,1166415.0
2025-10-01,국민 해외여행객,일본,동북아,업무/출장,231211,3.8,1561357.0
2025-10-01,방한 외래객,중국,동북아,관광/휴양,199997,6.7,1433907.0
2025-10-01,국민 해외여행객,중국,동북아,관광/휴양,149380,5.5,1890989.0
2025-10-01,방한 외래객,대만,동북아,,152813,5.5,1324232.0
2025-10-01,국민 해외여행객,대만,동북아,관광/휴양,50705,5.0,1780326.0
2025-10-01,방한 외래객,미국,미주,업무/출장,108161,10.0,1843467.0
2025-10-01,국민 해외여행객,미국,미주,관광/휴양,131809,10.5,2591574.0
2025-10-01,방한 외래객,호주,대양주,,23870,10.5,2767936.0
2025-10-01,국민 해외여행객,호주,대양주,업무/출장,43866,11.0,3151118.0
2025-10-01,방한 외래객,베트남,동남아,업무/출장,68176,6.7,1099598.0
2025-10-01,국민 해외여행객,베트남,동남아,관광/휴양,62450,8.4,190397.0
2025-10-01,방한 외래객,태국,동남아,관광/휴양,44118,4.6,1621772.0
2025-10-01,국민 해외여행객,태국,동남아,관광/휴양,77672,5.1,1960912.0
2025-10-01,방한 외래객,필리핀,동남아,관광/휴양,50800,6.5,1178211.0
2025-10-01,국민 해외여행객,필리핀,동남아,관광/휴양,40177,7.8,1476369.0
2025-10-01,방한 외래객,말레이시아,동남아,관광/휴양,35525,5.6,
2025-10-01,국민 해외여행객,말레이시아,동남아,,32083,6.6,1575257.0
2025-10-01,방한 외래객,싱가포르,동남아,업무/출장,28346,5.4,1795508.0
2025-10-01,국민 해외여행객,싱가포르,동남아,업무/출장,24725,6.2,2423417.0
2025-11-01,방한 외래객,일본,동북아,관광/휴양,206453,4.5,1316176.0
2025-11-01,국민 해외여행객,일본,동북아,관광/휴양,199590,,1270174.0
2025-11-01,방한 외래객,중국,동북아,관광/휴양,184714,6.1,1864614.0
2025-11-01,국민 해외여행객,중국,동북아,관광/휴양,137402,6.8,2078928.0
2025-11-01,방한 외래객,대만,동북아,관광/휴양,112818,4.6,1290670.0
2025-11-01,국민 해외여행객,대만,동북아,업무/출장,49306,4.8,1557890.0
2025-11-01,방한 외래객,미국,미주,업무/출장,120651,10.3,
2025-11-01,국민 해외여행객,미국,미주,관광/휴양,138758,10.0,2973651.0
2025-11-01,방한 외래객,호주,대양주,친지 방문,26252,10.9,2771517.0
2025-11-01,국민 해외여행객,호주,대양주,관광/휴양,41617,11.4,
2025-11-01,방한 외래객,베트남,동남아,관광/휴양,59274,6.5,1465041.0
2025-11-01,국민 해외여행객,베트남,동남아,관광/휴양,50587,8.2,1709458.0
2025-11-01,방한 외래객,태국,동남아,관광/휴양,33186,5.5,1419048.0
2025-11-01,국민 해외여행객,태국,동남아,관광/휴양,68770,7.1,1622130.0
2025-11-01,방한 외래객,필리핀,동남아,관광/휴양,3224,7.4,1339768.0
2025-11-01,국민 해외여행객,필리핀,동남아,관광/휴양,34227,6.6,1419676.0
2025-11-01,방한 외래객,말레이시아,동남아,친지 방문,32775,6.1,1156190.0
2025-11-01,국민 해외여행객,말레이시아,동남아,관광/휴양,28816,6.5,1579058.0
2025-11-01,방한 외래객,싱가포르,동남아,업무/출장,25209,5.4,1902778.0
2025-11-01,국민 해외여행객,싱가포르,동남아,관광/휴양,25782,7.1,2267156.0
2025-12-01,방한 외래객,일본,동북아,업무/출장,260760,4.0,1297010.0
2025-12-01,국민 해외여행객,일본,동북아,관광/휴양,250242,3.5,1161049.0
2025-12-01,방한 외래객,중국,동북아,업무/출장,225954,6.8,1650935.0
2025-12-01,국민 해외여행객,중국,동북아,관광/휴양,147821,6.2,2066487.0
2025-12-01,방한 외래객,대만,동북아,관광/휴양,159553,3.3,1278137.0
2025-12-01,국민 해외여행객,대만,동북아,관광/휴양,48196,4.3,1303756.0
2025-12-01,방한 외래객,미국,미주,관광/휴양,123762,10.0,2489163.0
2025-12-01,국민 해외여행객,미국,미주,관광/휴양,157826,10.6,1984142.0
2025-12-01,방한 외래객,호주,대양주,업무/출장,30584,9.2,2256359.0
2025-12-01,국민 해외여행객,호주,대양주,업무/출장,48861,11.2,3883318.0
2025-12-01,방한 외래객,베트남,동남아,관광/휴양,71730,7.0,1094237.0
2025-12-01,국민 해외여행객,베트남,동남아,관광/휴양,59541,7.0,1679432.0
2025-12-01,방한 외래객,태국,동남아,업무/출장,44021,5.5,1322970.0
2025-12-01,국민 해외여행객,태국,동남아,관광/휴양,75443,5.7,1593650.0
2025-12-01,방한 외래객,필리핀,동남아,업무/출장,51201,7.4,1098749.0
2025-12-01,국민 해외여행객,필리핀,동남아,관광/휴양,45655,,1364044.0
2025-12-01,방한 외래객,말레이시아,동남아,,39831,4.7,1379921.0
2025-12-01,국민 해외여행객,말레이시아,동남아,관광/휴양,32654,5.6,1627613.0
2025-12-01,방한 외래객,싱가포르,동남아,친지 방문,27948,4.4,2163115.0
2025-12-01,국민 해외여행객,싱가포르,동남아,관광/휴양,28225,6.0,2339712.0
